	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.414612	414	6	1	2	1	24	0	48	0	3	-41.7222	 	1	0.999996
DL	0.513612	513	6	1	2	1	25	0	48	0	0	-38.5463	 	1	1
DL	0.514112	514	1	1	2	1	25	0	48	0	1	-38.5509	 	1	1
DL	0.514612	514	6	1	2	1	25	0	48	0	2	-38.5554	 	1	1
DL	0.515112	515	1	1	2	1	25	0	48	0	3	-38.5598	 	1	0.999996
DL	0.618112	618	1	1	2	1	26	0	48	0	0	-41.1149	 	1	1
DL	0.618612	618	6	1	2	1	26	0	48	0	1	-41.117	 	1	1
DL	0.619112	619	1	1	2	1	26	0	48	0	2	-41.1192	 	1	1
DL	0.619612	619	6	1	2	1	26	0	48	0	3	-41.1215	 	1	0.999996
DL	0.718612	718	6	1	2	1	27	0	48	0	0	-42.8046	 	1	1
DL	0.719112	719	1	1	2	1	27	0	48	0	1	-42.7905	 	1	1
DL	0.719612	719	6	1	2	1	27	0	48	0	2	-42.7784	 	1	1
DL	0.720112	720	1	1	2	1	27	0	48	0	3	-42.7685	 	1	0.999996
DL	0.823112	823	1	1	2	1	28	0	48	0	0	-37.5447	 	1	1
DL	0.823612	823	6	1	2	1	28	0	48	0	1	-37.5553	 	1	1
DL	0.824112	824	1	1	2	1	28	0	48	0	2	-37.5657	 	1	1
DL	0.824612	824	6	1	2	1	28	0	48	0	3	-37.5756	 	1	0.999996
DL	0.923612	923	6	1	2	1	29	0	48	0	0	-37.7775	 	1	1
DL	0.924112	924	1	1	2	1	29	0	48	0	1	-37.7731	 	1	1
DL	0.924612	924	6	1	2	1	29	0	48	0	2	-37.7691	 	1	1
DL	0.925112	925	1	1	2	1	29	0	48	0	3	-37.7657	 	1	0.999996
DL	1.02811	1028	1	1	2	1	30	0	48	0	0	-40.9095	 	1	1
DL	1.02861	1028	6	1	2	1	30	0	48	0	1	-40.9088	 	1	1
DL	1.02911	1029	1	1	2	1	30	0	48	0	2	-40.9082	 	1	1
DL	1.02961	1029	6	1	2	1	30	0	48	0	3	-40.9077	 	1	0.999996
DL	1.12861	1128	6	1	2	1	31	0	48	0	0	-38.8584	 	1	1
DL	1.12911	1129	1	1	2	1	31	0	48	0	1	-38.8549	 	1	1
DL	1.12961	1129	6	1	2	1	31	0	48	0	2	-38.8489	 	1	1
DL	1.13011	1130	1	1	2	1	31	0	48	0	3	-38.8403	 	1	0.999996
DL	1.23311	1233	1	1	2	1	32	0	48	0	0	-38.949	 	1	1
DL	1.23361	1233	6	1	2	1	32	0	48	0	1	-38.9362	 	1	1
DL	1.23411	1234	1	1	2	1	32	0	48	0	2	-38.9243	 	1	1
DL	1.23461	1234	6	1	2	1	32	0	48	0	3	-38.9135	 	1	0.999996
DL	1.33361	1333	6	1	2	1	33	0	48	0	0	-40.1227	 	1	1
DL	1.33411	1334	1	1	2	1	33	0	48	0	1	-40.1294	 	1	1
DL	1.33461	1334	6	1	2	1	33	0	48	0	2	-40.1366	 	1	1
DL	1.33511	1335	1	1	2	1	33	0	48	0	3	-40.144	 	1	0.999996
DL	1.43811	1438	1	1	2	1	34	0	48	0	0	-29.3422	 	1	1
DL	1.43861	1438	6	1	2	1	34	0	48	0	1	-29.3432	 	1	1
DL	1.43911	1439	1	1	2	1	34	0	48	0	2	-29.3443	 	1	1
DL	1.43961	1439	6	1	2	1	34	0	48	0	3	-29.3456	 	1	0.999996
