	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.736408	736	4	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.737008	737	0	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.739008	739	0	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.739508	739	5	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.741542	741	5	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.742108	742	1	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.742608	742	6	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.743208	743	2	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.745208	745	2	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.745708	745	7	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.747742	747	7	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.748308	748	3	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.748808	748	8	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.749408	749	4	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.751408	751	4	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.751908	751	9	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.753942	753	9	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.754508	754	5	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.755008	755	0	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.755608	755	6	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.757608	757	6	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.758108	758	1	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.760146	760	1	1	10	1	1	0	17809	28	0	72.972	 	0	0
UL	0.760708	760	7	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.761208	761	2	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.761808	761	8	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.763808	763	8	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.764308	764	3	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.766342	766	3	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.766908	766	9	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.767408	767	4	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.768008	768	0	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.770008	770	0	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.770508	770	5	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.772542	772	5	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.773108	773	1	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.773608	773	6	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.774208	774	2	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.776208	776	2	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.776708	776	7	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.778742	778	7	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.779308	779	3	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.779808	779	8	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.780408	780	4	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.782408	782	4	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.782908	782	9	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.784942	784	9	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.785508	785	5	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.786008	786	0	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.786608	786	6	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.788608	788	6	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.789108	789	1	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.791146	791	1	1	10	1	1	0	17809	28	0	72.972	 	0	0
UL	0.791708	791	7	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.792208	792	2	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.792808	792	8	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.794808	794	8	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.795308	795	3	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.797342	797	3	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.797908	797	9	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.798408	798	4	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.799008	799	0	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.801008	801	0	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.801508	801	5	1	1	1	1	0	1776	28	0	73.8339	 	0	0
DL	0.803542	803	5	1	9	1	1	0	16030	28	0	73.8339	 	0	0
UL	0.804108	804	1	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.804608	804	6	1	1	1	1	0	1776	28	0	73.8339	 	0	0
UL	0.805208	805	2	1	1	1	1	0	1776	28	0	73.8339 	0	0
UL	0.807208	807	2	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.807708	807	7	1	1	1	1	0	1776	28	0	73.8339	 	0	0
DL	0.809746	809	7	1	10	1	1	0	17809	28	0	73.8339	 	0	0
UL	0.810308	810	3	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.810808	810	8	1	1	1	1	0	1776	28	0	73.8339	 	0	0
UL	0.811408	811	4	1	1	1	1	0	1776	28	0	73.8339 	0	0
UL	0.813408	813	4	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.813908	813	9	1	1	1	1	0	1776	28	0	73.8339	 	0	0
DL	0.815942	815	9	1	9	1	1	0	16030	28	0	73.8339	 	0	0
UL	0.816508	816	5	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.817008	817	0	1	1	1	1	0	1776	28	0	73.8339	 	0	0
UL	0.817608	817	6	1	1	1	1	0	1776	28	0	73.8339 	0	0
UL	0.819608	819	6	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.820108	820	1	1	1	1	1	0	1776	28	0	73.8339	 	0	0
DL	0.822142	822	1	1	9	1	1	0	16030	28	0	73.8339	 	0	0
UL	0.822708	822	7	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.823208	823	2	1	1	1	1	0	1776	28	0	73.8339	 	0	0
UL	0.823808	823	8	1	1	1	1	0	1776	28	0	73.8339 	0	0
UL	0.825808	825	8	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.826308	826	3	1	1	1	1	0	1776	28	0	73.8339	 	0	0
DL	0.828342	828	3	1	9	1	1	0	16030	28	0	73.8339	 	0	0
UL	0.828908	828	9	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.829408	829	4	1	1	1	1	0	1776	28	0	73.8339	 	0	0
UL	0.830008	830	0	1	1	1	1	0	1776	28	0	73.8339 	0	0
UL	0.832008	832	0	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.832508	832	5	1	1	1	1	0	1776	28	0	73.8339	 	0	0
DL	0.834542	834	5	1	9	1	1	0	16030	28	0	73.8339	 	0	0
UL	0.835108	835	1	1	1	1	1	0	1776	28	0	73.8339 	0	0
DL	0.835608	835	6	1	1	1	1	0	1776	28	0	73.8339	 	0	0
